date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:22	17571/17571	---M--	200	added ('OK')	image/jpeg	etag:%228050eca1fba1109fd098b03a9416e95c%22	http://november-personal-portfolio.bitballoon.com/images/pexels-photo.jpg	C:/My%20Web%20Sites/my%20web%20example/november-personal-portfolio.bitballoon.com/images/pexels-photo.jpg	(from )
00:41:23	17571/17571	---M--	200	added ('OK')	image/jpeg	etag:7f6a8ba8373690bd32eb11714e59b24b9dd2ca99	http://d33wubrfki0l68.cloudfront.net/39f0cfae4718c6030feb680570360b92d0fe14bf/d1403/images/pexels-photo.jpg	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/39f0cfae4718c6030feb680570360b92d0fe14bf/d1403/images/pexels-photo.jpg	(from )
00:41:31	46208/46208	---M--	200	added ('OK')	image/jpeg	etag:6d71f2b740f59a72b9f24403c73c46f801169cac	http://d33wubrfki0l68.cloudfront.net/f06661f57aae1a2ed6776d275a27066ed73183ca/2df8e/images/pexels-photo-27458.jpg	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/f06661f57aae1a2ed6776d275a27066ed73183ca/2df8e/images/pexels-photo-27458.jpg	(from )
00:41:34	14011/14011	---M--	200	added ('OK')	image/jpeg	etag:%22806be225808dccbd1e6844c2fc20393d%22	http://november-personal-portfolio.bitballoon.com/images/test%201.jpg	C:/My%20Web%20Sites/my%20web%20example/november-personal-portfolio.bitballoon.com/images/test%201.jpg	(from )
00:41:48	311649/311649	---MC-	200	added ('OK')	application/javascript	etag:2ba9260edfdec066350f23cb19f58954179b407b-df	http://d33wubrfki0l68.cloudfront.net/bundles/d70a114728572d0ef62888c8fcbb382653cdd6d7.js	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/bundles/d70a114728572d0ef62888c8fcbb382653cdd6d7.js	(from )
00:41:50	188281/188281	---M--	200	added ('OK')	image/jpeg	etag:617318480e5f709341268559e96a562d79245538	http://d33wubrfki0l68.cloudfront.net/fc10e7157d9c2eeb25f8ef052470b1881ff21c68/2f28d/images/desk-white-black-header.jpg	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/fc10e7157d9c2eeb25f8ef052470b1881ff21c68/2f28d/images/desk-white-black-header.jpg	(from )
00:41:51	101/101	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Aug%202017%2019:11:50%20GMT	http://d33wubrfki0l68.cloudfront.net/bundles/owl.video.play.png	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/bundles/owl.video.play.11.delayed	(from http://november-personal-portfolio.bitballoon.com/video%20bg.html)
00:41:51	280/280	---M--	200	added ('OK')	image/png	etag:cf99475b84c2e5b15379c5fd4870a694b5d877ea	http://d33wubrfki0l68.cloudfront.net/images/3ca48361cfe0e41163023d03c26296f375bb3eac/close.png	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/images/3ca48361cfe0e41163023d03c26296f375bb3eac/close.png	(from http://november-personal-portfolio.bitballoon.com/video%20bg.html)
00:41:52	1360/1360	---M--	200	added ('OK')	image/png	etag:b55fc2a2bab030e83af8d698ddae149c1a9ba580	http://d33wubrfki0l68.cloudfront.net/images/6640a3432f7ba7aea6129cdf7a5d3eabd47c295c/prev.png	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/images/6640a3432f7ba7aea6129cdf7a5d3eabd47c295c/prev.png	(from http://november-personal-portfolio.bitballoon.com/video%20bg.html)
00:41:53	8476/8476	---M--	200	added ('OK')	image/gif	etag:557e50ea04a83a8f4791a6e3bbef24c36c18c1a0	http://d33wubrfki0l68.cloudfront.net/images/cf720b50cf8dde0e1a84ce1c6a77788bfc5882d5/loading.gif	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/images/cf720b50cf8dde0e1a84ce1c6a77788bfc5882d5/loading.gif	(from http://november-personal-portfolio.bitballoon.com/video%20bg.html)
00:41:53	1350/1350	---M--	200	added ('OK')	image/png	etag:d082a08656a758249ff14c82b2cff94002269500	http://d33wubrfki0l68.cloudfront.net/images/777e92c050f600b4519299c3d786b8f2f459fea4/next.png	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/images/777e92c050f600b4519299c3d786b8f2f459fea4/next.png	(from http://november-personal-portfolio.bitballoon.com/video%20bg.html)
00:41:54	219920/219920	---M--	200	added ('OK')	image/png	etag:8088708969f39e2cc32a02574326d3a17fbc7ae9	http://d33wubrfki0l68.cloudfront.net/bffd032b0dc0d4e437ecfecb989b5d7c29a84a3c/9c7d8/images/pexels-photo-205321.png	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/bffd032b0dc0d4e437ecfecb989b5d7c29a84a3c/9c7d8/images/pexels-photo-205321.png	(from )
00:43:00	1934789/1934789	---M--	200	added ('OK')	video/mp4	etag:%22f62df27d3b2f2b5380c543f5272fe52c%22	http://november-personal-portfolio.bitballoon.com/Best-Background-Video-for-website%20-%2010Youtube.com.mp4	C:/My%20Web%20Sites/my%20web%20example/november-personal-portfolio.bitballoon.com/Best-Background-Video-for-website%20-%2010Youtube.com.mp4	(from )
